Source,Target,Weight,Season
馬五德,左子穆,3,1
段譽,馬五德,6,1
段譽,左子穆,17,1
龔光傑,段譽,8,1
龔光傑,左子穆,9,1
龔光傑,容子矩,2,1
左子穆,容子矩,2,1
干光豪,龔光傑,4,1
段譽,容子矩,2,1
馬五德,容子矩,1,1
干光豪,段譽,12,1
干光豪,左子穆,3,1
司空玄,左子穆,7,1
司空玄,天山童姥,6,1
天山童姥,左子穆,1,1
鍾靈,段譽,161,1
鍾靈,馬五德,1,1
司空玄,段譽,39,1
鍾靈,司空玄,37,1
岳老三,進喜兒,2,1
進喜兒,來福兒,1,1
岳老三,段譽,19,1
鍾萬仇,段譽,47,1
鍾萬仇,段正淳,46,1
段正淳,段譽,75,1
鍾靈,鍾萬仇,32,1
甘寶寶,鍾萬仇,13,1
甘寶寶,司空玄,3,1
甘寶寶,段譽,11,1
鍾萬仇,司空玄,3,1
來福兒,段譽,8,1
來福兒,瑞婆婆,1,1
段譽,瑞婆婆,17,1
平婆婆,段譽,13,1
平婆婆,瑞婆婆,15,1
干光豪,葛光佩,6,1
段譽,葛光佩,1,1
鍾靈,天山童姥,1,1
段譽,天山童姥,14,1
木婉清,鍾靈,37,1
木婉清,段譽,243,1
木婉清,平婆婆,9,1
木婉清,瑞婆婆,11,1
鍾靈,瑞婆婆,2,1
鍾靈,平婆婆,1,1
木婉清,司空玄,2,1
木婉清,孫三霸,2,1
孫三霸,段譽,1,1
甘寶寶,平婆婆,1,1
甘寶寶,辛雙清,1,1
甘寶寶,瑞婆婆,1,1
甘寶寶,左子穆,1,1
鍾萬仇,平婆婆,2,1
鍾萬仇,辛雙清,2,1
鍾萬仇,瑞婆婆,2,1
鍾萬仇,左子穆,2,1
平婆婆,司空玄,1,1
平婆婆,辛雙清,1,1
平婆婆,左子穆,1,1
司空玄,辛雙清,3,1
司空玄,瑞婆婆,1,1
段譽,辛雙清,7,1
辛雙清,瑞婆婆,1,1
辛雙清,左子穆,7,1
瑞婆婆,左子穆,1,1
進喜兒,鍾萬仇,1,1
進喜兒,段譽,1,1
木婉清,甘寶寶,10,1
甘寶寶,鍾靈,6,1
木婉清,葉二娘,23,1
木婉清,岳老三,3,1
岳老三,葉二娘,4,1
鍾萬仇,葉二娘,12,1
雲中鶴,葉二娘,31,1
木婉清,雲中鶴,31,1
雲中鶴,鍾萬仇,20,1
雲中鶴,段譽,31,1
葉二娘,左子穆,16,1
雲中鶴,左子穆,5,1
木婉清,左子穆,5,1
朱丹臣,左子穆,1,1
褚萬里,葉二娘,6,1
褚萬里,傅思歸,11,1
