Id,Label
慧真,慧真
鄧百川,鄧百川
司馬林,司馬林
宋長老,宋長老
玄愧,玄愧
劉竹莊,劉竹莊
范驊,范驊
單季山,單季山
葉二娘,葉二娘
哲羅星,哲羅星
慕容復,慕容復
玄悲,玄悲
李春來,李春來
趙煦,趙煦
巴天石,巴天石
張將軍,張將軍
鮑千靈,鮑千靈
玄澄,玄澄
雲島主,雲島主
段正淳,段正淳
和哩布,和哩布
祁老六,祁老六
司空玄,司空玄
辛雙清,辛雙清
本塵,本塵
汪劍通,汪劍通
游坦之,游坦之
進喜兒,進喜兒
玄生,玄生
不平道人,不平道人
志遠大師,志遠大師
玄痛,玄痛
平婆婆,平婆婆
小蘭,小蘭
木婉清,木婉清
菊劍,菊劍
譚青,譚青
龔光傑,龔光傑
費玉清,費玉清
段譽,段譽
王通治,王通治
褚萬里,褚萬里
高泰明,高泰明
符聖使,符聖使
譚婆,譚婆
耶律莫哥,耶律莫哥
慧鏡,慧鏡
玄念,玄念
范祖禹,范祖禹
刀白鳳,刀白鳳
玄慚,玄慚
鍾萬仇,鍾萬仇
賈老者,賈老者
玄寂,玄寂
孟老者,孟老者
薛慕華,薛慕華
蘭劍,蘭劍
黃眉僧,黃眉僧
徐沖霄,徐沖霄
司馬衛,司馬衛
天狼子,天狼子
童飄雲,童飄雲
慧方,慧方
桑土公,桑土公
玄石,玄石
宗贊,宗贊
九翼道人,九翼道人
岳老三,岳老三
玄苦,玄苦
吳領軍,吳領軍
耶律涅魯古,耶律涅魯古
覺賢大師,覺賢大師
全冠清,全冠清
珠崖大怪,珠崖大怪
虛湛,虛湛
阮星竹,阮星竹
小茗,小茗
馮阿三,馮阿三
秦伯起,秦伯起
耶律重元,耶律重元
干光豪,干光豪
司馬島主,司馬島主
游驥,游驥
小茶,小茶
余婆,余婆
竹劍,竹劍
蘇轍,蘇轍
巫行雲,巫行雲
方舵主,方舵主
蔡慶圖,蔡慶圖
海風子,海風子
阿碧,阿碧
玄渡,玄渡
玄黃子,玄黃子
喬峰,喬峰
孫三霸,孫三霸
本相,本相
褚師弟,褚師弟
玄淨,玄淨
古篤誠,古篤誠
包不同,包不同
慕容博,慕容博
太皇太后高氏,太皇太后高氏
吳長風,吳長風
觀心大師,觀心大師
室里,室里
瑞婆婆,瑞婆婆
段正明,段正明
崔百泉,崔百泉
本因,本因
珠崖二怪,珠崖二怪
鍾靈,鍾靈
單正,單正
范純仁,范純仁
丁春秋,丁春秋
虛淵,虛淵
五葉大師,五葉大師
姚伯當,姚伯當
高陞泰,高陞泰
摘星子,摘星子
都靈子,都靈子
區島主,區島主
單仲山,單仲山
單小山,單小山
黎夫人,黎夫人
神音大師,神音大師
駱氏三雄,駱氏三雄
慧輪,慧輪
金二哥,金二哥
包不靚,包不靚
神山上人,神山上人
華赫艮,華赫艮
許卓誠,許卓誠
安洞主,安洞主
馬大元,馬大元
呂章,呂章
霍洞主,霍洞主
波羅星,波羅星
枯榮,枯榮
玄滅,玄滅
康廣陵,康廣陵
苟讀,苟讀
白世鏡,白世鏡
玄難,玄難
思良大師,思良大師
玄鳴,玄鳴
段延慶,段延慶
康敏,康敏
姜老者,姜老者
青松,青松
小翠,小翠
唐光雄,唐光雄
公冶乾,公冶乾
小詩,小詩
蔣舵主,蔣舵主
道清大師,道清大師
章虛道人,章虛道人
蕭遠山,蕭遠山
章達夫,章達夫
破痴,破痴
風波惡,風波惡
玄因,玄因
錢光勝,錢光勝
靈門大師,靈門大師
馬五德,馬五德
端木元,端木元
破嗔,破嗔
鴻傑大師,鴻傑大師
程青霜,程青霜
融智大師,融智大師
單伯山,單伯山
石清風,石清風
趙錢孫,趙錢孫
赫連鐵樹,赫連鐵樹
天摩尼,天摩尼
嚴媽媽,嚴媽媽
天山童姥,天山童姥
張全祥,張全祥
玄慈,玄慈
緣根,緣根
幽草,幽草
范百齡,范百齡
諸葛中,諸葛中
無崖子,無崖子
單叔山,單叔山
李傀儡,李傀儡
丐幫,丐幫
哈大霸,哈大霸
游駒,游駒
梅劍,梅劍
郁光標,郁光標
夢姑,夢姑
葛光佩,葛光佩
玄止,玄止
于洞主,于洞主
努兒海,努兒海
阿紫,阿紫
甘寶寶,甘寶寶
李秋水,李秋水
李青蘿,李青蘿
老顧,老顧
虛清,虛清
來福兒,來福兒
諸保昆,諸保昆
本觀,本觀
摩雲子,摩雲子
陳孤雁,陳孤雁
蘇星河,蘇星河
欽島主,欽島主
完顏阿骨打,完顏阿骨打
柯百歲,柯百歲
出塵子,出塵子
本參,本參
傅思歸,傅思歸
朱丹臣,朱丹臣
掃地僧,掃地僧
斯達林,斯達林
穆貴妃,穆貴妃
譚公,譚公
烏老大,烏老大
鳩摩智,鳩摩智
追風子,追風子
智光大師,智光大師
阿朱,阿朱
蕭峰,蕭峰
梁阿婆,梁阿婆
耶律洪基,耶律洪基
王語嫣,王語嫣
崔綠華,崔綠華
慧觀,慧觀
奚山河,奚山河
向望海,向望海
慧淨,慧淨
卓不凡,卓不凡
石嫂,石嫂
左子穆,左子穆
過彥之,過彥之
秦紅棉,秦紅棉
容子矩,容子矩
謝副舵主,謝副舵主
雲中鶴,雲中鶴
虛竹,虛竹
符敏儀,符敏儀
