Source,Target,Weight,Season
Crazyfire,pupu20317,0.06058631921824104,0
castalchen,pupu20317,0.050405040504050404,0
johnny9667,pupu20317,0.06242969628796401,0
akway,castalchen,0.060505415162454876,0
akway,indium111,0.06992260475046704,0
MVPGGYY,akway,0.06429565877736995,0
akway,jack0216,0.06468696803480234,0
akway,silentence,0.06606350290201433,0
MVPGGYY,silentence,0.06767039015703416,0
jack0216,silentence,0.06146505753578445,0
henry46277,kbook,0.06067769897557131,0
MisuzuXD,kenshin333,0.05537052456286428,0
miyagisamon,oneyear,0.06655844155844155,0
oneyear,sc6003pc,0.0649452269170579,0
a0986188522,lwt501cx,0.05053827751196172,0
a0986188522,turnpoint,0.05570380253502335,0
Borges,ramirez,0.05485544848035582,0
pda2001,ramirez,0.07778819119025304,0
Crazyfire,a10141013,0.05109677419354839,0
dream99,knightwww,0.05357142857142857,0
a10141013,castalchen,0.05067631929891408,0
aa55667878,sc6003pc,0.05421184320266889,0
sc6003pc,wmtsung,0.08078141499472016,0
oneyear,wmtsung,0.06670822942643391,0
OverRed,sakidiforld,0.0774818401937046,0
OverRed,knightwww,0.056640625,0
OverRed,xru03,0.05695142378559464,0
Fjuno,OverRed,0.06685236768802229,0
OverRed,wmtsung,0.05873715124816446,0
OverRed,simata,0.0625,0
OverRed,genaro,0.05413105413105413,0
OverRed,Victory2,0.07238605898123325,0
OverRed,alvinpom,0.05100463678516229,0
OverRed,oneyear,0.06568364611260054,0
OverRed,achiow,0.052770448548812667,0
edisgood,sakidiforld,0.05994550408719346,0
arus1230,edisgood,0.11764705882352941,0
edisgood,knightwww,0.08077709611451943,0
edisgood,ya870801,0.15083798882681565,0
edisgood,xru03,0.050816696914700546,0
ae,edisgood,0.10051546391752578,0
edisgood,wmtsung,0.056990881458966566,0
charlly,edisgood,0.07900677200902935,0
edisgood,genaro,0.06707317073170732,0
Victory2,edisgood,0.09785932721712538,0
alvinpom,edisgood,0.05324459234608985,0
edisgood,xunhuiwu,0.08357348703170028,0
edisgood,turbomons,0.07985257985257985,0
knightwww,sakidiforld,0.05251875669882101,0
sakidiforld,sc6003pc,0.05185185185185185,0
sakidiforld,ya870801,0.0670926517571885,0
sakidiforld,xru03,0.06126482213438735,0
Fjuno,sakidiforld,0.07462686567164178,0
sakidiforld,wmtsung,0.057435090479937057,0
charlly,sakidiforld,0.0678391959798995,0
sakidiforld,simata,0.05588822355289421,0
genaro,sakidiforld,0.07201309328968904,0
Victory2,sakidiforld,0.09219858156028368,0
alvinpom,sakidiforld,0.07733812949640288,0
oneyear,sakidiforld,0.06870229007633588,0
achiow,sakidiforld,0.059027777777777776,0
arus1230,knightwww,0.05399325084364454,0
arus1230,ya870801,0.10408921933085502,0
arus1230,maydayGUN,0.05214723926380368,0
ae,arus1230,0.07357859531772576,0
arus1230,charlly,0.08757062146892655,0
arus1230,genaro,0.08994708994708994,0
Victory2,arus1230,0.0546218487394958,0
arus1230,xunhuiwu,0.09302325581395349,0
arus1230,turbomons,0.06758620689655172,0
knightwww,sc6003pc,0.07519280205655526,0
knightwww,ya870801,0.08333333333333333,0
knightwww,xru03,0.07072515666965085,0
ae,knightwww,0.08385744234800839,0
knightwww,wmtsung,0.09404888416578108,0
charlly,knightwww,0.07829534192269574,0
genaro,knightwww,0.09901800327332243,0
ViktorGoogle,knightwww,0.05424696645253391,0
Victory2,knightwww,0.07502799552071669,0
alvinpom,knightwww,0.0959725792630677,0
knightwww,oneyear,0.07819905213270142,0
knightwww,xunhuiwu,0.05147864184008762,0
knightwww,turbomons,0.08260869565217391,0
sc6003pc,xru03,0.053144375553587246,0
august628,sc6003pc,0.051587301587301584,0
charlly,sc6003pc,0.06660137120470128,0
kuloda,sc6003pc,0.052941176470588235,0
genaro,sc6003pc,0.11021069692058347,0
alvinpom,sc6003pc,0.09584393553859202,0
sc6003pc,turbomons,0.07183908045977011,0
xru03,ya870801,0.06438631790744467,0
maydayGUN,ya870801,0.07479224376731301,0
ae,ya870801,0.15868263473053892,0
Fjuno,ya870801,0.06563706563706563,0
wmtsung,ya870801,0.05150554675118859,0
charlly,ya870801,0.08740359897172237,0
genaro,ya870801,0.08970099667774087,0
Victory2,ya870801,0.14652014652014653,0
oneyear,ya870801,0.06346749226006192,0
xunhuiwu,ya870801,0.07167235494880546,0
turbomons,ya870801,0.08289473684210526,0
ae,xru03,0.056925996204933584,0
Fjuno,xru03,0.05309734513274336,0
wmtsung,xru03,0.06391752577319587,0
charlly,xru03,0.05326460481099656,0
genaro,xru03,0.0830188679245283,0
Victory2,xru03,0.08369098712446352,0
alvinpom,xru03,0.06891891891891892,0
achiow,xru03,0.05508474576271186,0
turbomons,xru03,0.05771248688352571,0
ae,maydayGUN,0.061381074168797956,0
genaro,maydayGUN,0.07132018209408195,0
Victory2,maydayGUN,0.051515151515151514,0
august628,charlly,0.06941431670281996,0
august628,genaro,0.07418397626112759,0
alvinpom,august628,0.09046849757673667,0
ae,wmtsung,0.05572755417956656,0
ae,charlly,0.06921241050119331,0
ae,genaro,0.0759493670886076,0
Victory2,ae,0.11551155115511551,0
ae,alvinpom,0.05545927209705372,0
ae,oneyear,0.06656804733727811,0
ae,xunhuiwu,0.06501547987616099,0
ae,turbomons,0.056962025316455694,0
Fjuno,charlly,0.05232558139534884,0
Fjuno,genaro,0.05565529622980251,0
Fjuno,Victory2,0.10526315789473684,0
Fjuno,alvinpom,0.061752988047808766,0
Fjuno,oneyear,0.056572379367720464,0
Fjuno,achiow,0.05982905982905983,0
charlly,wmtsung,0.050482553823311065,0
genaro,wmtsung,0.08141025641025641,0
Victory2,wmtsung,0.05117790414297319,0
alvinpom,wmtsung,0.07375415282392027,0
turbomons,wmtsung,0.0779976717112922,0
charlly,genaro,0.10771470160116449,0
Victory2,charlly,0.061452513966480445,0
alvinpom,charlly,0.0949367088607595,0
charlly,oneyear,0.0506155950752394,0
charlly,xunhuiwu,0.07142857142857142,0
charlly,turbomons,0.06272189349112427,0
alvinpom,simata,0.055782312925170066,0
Sunofgod,genaro,0.05981794538361508,0
Sunofgod,turbomons,0.05177993527508091,0
genaro,kuloda,0.06191588785046729,0
alvinpom,kuloda,0.052434456928838954,0
Victory2,genaro,0.09106830122591944,0
alvinpom,genaro,0.11242603550295859,0
genaro,oneyear,0.0815677966101695,0
genaro,xunhuiwu,0.07106598984771574,0
genaro,turbomons,0.10491493383742911,0
Victory2,stw82,0.053156146179401995,0
Victory2,alvinpom,0.06201550387596899,0
Victory2,oneyear,0.07317073170731707,0
Victory2,xunhuiwu,0.05725190839694656,0
Victory2,turbomons,0.05075445816186557,0
alvinpom,oneyear,0.052868391451068614,0
alvinpom,xunhuiwu,0.054104477611940295,0
alvinpom,turbomons,0.07776669990029911,0
turbomons,xunhuiwu,0.0534045393858478,0
a0986188522,hauwie,0.05341551104262968,0
a0986188522,johnny9667,0.05166444740346205,0
johnny9667,starport,0.06773283160865474,0
castalchen,starport,0.06255037884894406,0
a0986188522,f860506,0.05563139931740614,0
Iamboy183,a0986188522,0.06105457909343201,0
a10141013,starport,0.05439814814814815,0
onlygoog,ramirez,0.052451539338654506,0
a10141013,melinux,0.05565912117177097,0
niko0202,wmtsung,0.06822057987492894,0
niko0202,oneyear,0.0568678915135608,0
a10141013,akway,0.0750084659668134,0
kyokozenki,wmtsung,0.06312098188194039,0
henry46277,wmtsung,0.07097118463180363,0
funwing,phoenixzero,0.05007587253414264,0
fxntdsxdr,poisonshing,0.060550458715596334,0
poisonshing,wmtsung,0.05491153142159853,0
funwing,poisonshing,0.054437869822485205,0
poisonshing,sharkimage,0.06914893617021277,0
Victory2,coolcjy,0.0707395498392283,0
Holte,fxntdsxdr,0.0508274231678487,0
fxntdsxdr,wmtsung,0.06702573309395571,0
funwing,fxntdsxdr,0.059293044469783354,0
fxntdsxdr,sharkimage,0.06602373887240356,0
funwing,wmtsung,0.05539971949509116,0
sharkimage,wmtsung,0.08645229309435952,0
mkai,wmtsung,0.05,0
Victory2,funwing,0.057208237986270026,0
funwing,sharkimage,0.07071622846781506,0
aa55667878,sharkimage,0.08236272878535773,0
a0986188522,starport,0.05111402359108781,0
castalchen,melinux,0.05278592375366569,0
a0986188522,melinux,0.07303906001905366,0
a0986188522,eupa1973,0.05263157894736842,0
Crazyfire,a0986188522,0.06118078923218109,0
johnny9667,melinux,0.05120946989191971,0
Crazyfire,melinux,0.05176470588235294,0
melinux,starport,0.06540666808239541,0
brella,starport,0.05972865651886168,0
Crazyfire,starport,0.05653344377717954,0
WTF55665566,jack0216,0.05354181473584459,0
WTF55665566,starport,0.055747324818778046,0
may60524,mikemiao1492,0.0916030534351145,0
mikemiao1492,piercingX,0.050724637681159424,0
fdd486,wmtsung,0.05855397148676171,0
allen0080,melinux,0.06437315322921064,0
silentence,starport,0.07242990654205607,0
OverRed,joycewanga,0.07119741100323625,0
nikolas,thinkfun,0.05163727959697733,0
joycewanga,wmtsung,0.06300813008130081,0
victoryman,wmtsung,0.06861804222648753,0
birdhouse1,wmtsung,0.05325443786982249,0
vizcacha,wmtsung,0.05896088733216579,0
thinkfun,wmtsung,0.07200538358008075,0
Shermie,wmtsung,0.05067064083457526,0
aa55667878,joycewanga,0.07682458386683738,0
aa55667878,birdhouse1,0.0882800608828006,0
aa55667878,alvinpom,0.07160493827160494,0
aa55667878,vizcacha,0.07072691552062868,0
aa55667878,thinkfun,0.08091024020227561,0
aa55667878,xunhuiwu,0.0539568345323741,0
aa55667878,genaro,0.07398843930635839,0
aa55667878,charlly,0.06134969325153374,0
aa55667878,turbomons,0.08113391984359726,0
aa55667878,topic21000,0.08636977058029689,0
Victory2,joycewanga,0.06776180698151951,0
joycewanga,sc6003pc,0.06521739130434782,0
joycewanga,kyokozenki,0.05894519131334023,0
joycewanga,rovemberrain,0.05319148936170213,0
birdhouse1,joycewanga,0.08388157894736842,0
joycewanga,ya870801,0.08108108108108109,0
joycewanga,xru03,0.07032348804500703,0
alvinpom,joycewanga,0.06307490144546649,0
joycewanga,vizcacha,0.05056759545923633,0
ae,joycewanga,0.07664233576642336,0
joycewanga,k24315315,0.05654761904761905,0
joycewanga,thinkfun,0.06199460916442048,0
joycewanga,oneyear,0.06046511627906977,0
genaro,joycewanga,0.08455882352941177,0
joycewanga,stroy,0.07157057654075547,0
charlly,joycewanga,0.0779436152570481,0
joycewanga,turbomons,0.07392197125256673,0
Shermie,joycewanga,0.05351170568561873,0
joycewanga,topic21000,0.07947976878612717,0
Victory2,rovemberrain,0.08888888888888889,0
Victory2,birdhouse1,0.10743801652892562,0
Victory2,thinkfun,0.08048289738430583,0
Victory2,grana,0.09117647058823529,0
Shermie,Victory2,0.06232294617563739,0
sc6003pc,victoryman,0.05688282138794084,0
kyokozenki,sc6003pc,0.06209386281588448,0
f016tw,sc6003pc,0.05983606557377049,0
birdhouse1,sc6003pc,0.05165692007797271,0
AtDe,sc6003pc,0.0514018691588785,0
sc6003pc,vizcacha,0.06416726748377793,0
sc6003pc,thinkfun,0.0896551724137931,0
Shermie,sc6003pc,0.06496062992125984,0
sc6003pc,topic21000,0.06936936936936937,0
birdhouse1,victoryman,0.06085526315789474,0
alvinpom,victoryman,0.06501095690284879,0
victoryman,vizcacha,0.054533925174381735,0
thinkfun,victoryman,0.054814814814814816,0
genaro,victoryman,0.061095505617977525,0
charlly,victoryman,0.05284888521882741,0
turbomons,victoryman,0.05246523388116309,0
birdhouse1,maydayGUN,0.06430155210643015,0
maydayGUN,stroy,0.05202312138728324,0
maydayGUN,topic21000,0.05794392523364486,0
alvinpom,copycat603,0.060988433228180865,0
alvinpom,kyokozenki,0.07329317269076305,0
kyokozenki,thinkfun,0.05424769703172978,0
kyokozenki,zebra7,0.05025125628140704,0
genaro,kyokozenki,0.0532825880114177,0
kyokozenki,turbomons,0.058726220016542596,0
Shermie,kyokozenki,0.056422569027611044,0
kyokozenki,topic21000,0.05393743257820928,0
birdhouse1,f016tw,0.05014749262536873,0
alvinpom,f016tw,0.05896510228640193,0
f016tw,thinkfun,0.0665024630541872,0
august628,f016tw,0.05606060606060606,0
f016tw,genaro,0.07787810383747178,0
charlly,f016tw,0.05943536404160475,0
ccalisa,ya870801,0.05952380952380952,0
birdhouse1,rovemberrain,0.09248554913294797,0
rovemberrain,ya870801,0.09375,0
alvinpom,rovemberrain,0.06212424849699399,0
rovemberrain,thinkfun,0.058333333333333334,0
genaro,rovemberrain,0.06678700361010831,0
rovemberrain,stroy,0.058091286307053944,0
charlly,rovemberrain,0.06158357771260997,0
birdhouse1,ya870801,0.14213197969543148,0
birdhouse1,xru03,0.06814310051107325,0
alvinpom,birdhouse1,0.07378335949764521,0
birdhouse1,vizcacha,0.10059171597633136,0
ae,birdhouse1,0.10377358490566038,0
birdhouse1,thinkfun,0.15372168284789645,0
birdhouse1,oneyear,0.06521739130434782,0
birdhouse1,xunhuiwu,0.09138381201044386,0
birdhouse1,genaro,0.11849710982658959,0
birdhouse1,grana,0.06724511930585683,0
birdhouse1,stroy,0.06860158311345646,0
birdhouse1,charlly,0.11482254697286012,0
birdhouse1,turbomons,0.08823529411764706,0
birdhouse1,topic21000,0.0880281690140845,0
alvinpom,babosa633,0.05950095969289827,0
babosa633,stroy,0.053231939163498096,0
thinkfun,ya870801,0.09848484848484848,0
grana,ya870801,0.10512129380053908,0
stroy,ya870801,0.06228373702422145,0
topic21000,ya870801,0.07740585774058577,0
thinkfun,xru03,0.07073509015256588,0
Shermie,xru03,0.05025996533795494,0
topic21000,xru03,0.05514157973174367,0
AtDe,alvinpom,0.055800293685756244,0
AtDe,thinkfun,0.052870090634441085,0
AtDe,genaro,0.06114130434782609,0
AtDe,topic21000,0.06209150326797386,0
alvinpom,vizcacha,0.052104208416833664,0
alvinpom,k24315315,0.052781740370898715,0
alvinpom,thinkfun,0.0907911802853437,0
alvinpom,stroy,0.07518796992481203,0
Shermie,alvinpom,0.08133971291866028,0
alvinpom,topic21000,0.0957004160887656,0
thinkfun,vizcacha,0.08682328907048008,0
genaro,vizcacha,0.09306742640075974,0
